CurrencyPrimary,IBCommission,Open/CloseIndicator,CostBasis,FifoPnlRealized,LevelOfDetail,trade_date
USD,-1.006956,C,-799.015814,45.79723,EXECUTION,2025-08-19
USD,-0.2226,C,-4319.0044,252.773,EXECUTION,2025-08-19
USD,-0.326844,C,-1360.486386,79.36677,EXECUTION,2025-08-19
USD,-0.171204,C,-712.635726,41.57307,EXECUTION,2025-08-19
USD,-1.004888,C,-588.380572,-10.10546,EXECUTION,2025-08-20
USD,-0.1676,C,-4525.1349,-69.3025,EXECUTION,2025-08-20
USD,-0.191956,C,-837.495814,-13.32777,EXECUTION,2025-08-20
USD,-1.000188,C,-201.190035,6.849777,EXECUTION,2025-07-02
USD,-1.00658,C,-7882.65077,163.19265,EXECUTION,2025-08-05
USD,-1.0188,C,-382.5022,3.479,EXECUTION,2025-08-20
USD,-0.0188,C,-382.5022,4.479,EXECUTION,2025-08-20
USD,-0.5188,C,-382.5022,3.979,EXECUTION,2025-08-20
USD,-0.5188,C,-382.5022,3.979,EXECUTION,2025-08-20
USD,-0.5188,C,-382.5022,3.979,EXECUTION,2025-08-20
USD,-0.5188,C,-382.5022,3.979,EXECUTION,2025-08-20
USD,-1.5564,C,-1147.5066,11.937,EXECUTION,2025-08-20
USD,-0.5188,C,-382.5022,3.979,EXECUTION,2025-08-20
USD,-0.5188,C,-382.5022,3.979,EXECUTION,2025-08-20
USD,-2.0752,C,-1530.0088,15.916,EXECUTION,2025-08-20
USD,-2.536932,C,-1870.436258,19.45681,EXECUTION,2025-08-20
USD,-1.0376,C,-797.0044,-24.042,EXECUTION,2025-08-21
USD,-0.705568,C,-541.962992,-16.34856,EXECUTION,2025-08-21
USD,-0.5188,C,-398.5022,-12.021,EXECUTION,2025-08-21
USD,-5.7068,C,-4383.5242,-132.231,EXECUTION,2025-08-21
USD,-1.0188,C,-381.5022,-2.521,EXECUTION,2025-09-12
USD,-0.0188,C,-381.5022,-1.521,EXECUTION,2025-09-12
USD,-0.5188,C,-381.5022,-2.021,EXECUTION,2025-09-12
USD,-0.944216,C,-694.334004,-3.67822,EXECUTION,2025-09-12
USD,-4.6692,C,-3433.5198,-18.189,EXECUTION,2025-09-12
USD,-0.223084,C,-164.045946,-0.86903,EXECUTION,2025-09-12
USD,-0.44098,C,-324.27687,-1.71785,EXECUTION,2025-09-12
USD,-1.0188,C,-649.5035,-0.5223,EXECUTION,2025-07-02
USD,-0.0188,C,-649.5035,0.4777,EXECUTION,2025-07-02
USD,-1.0376,C,-1289.007,9.9554,EXECUTION,2025-07-02
USD,-0.5188,C,-639.5035,9.9777,EXECUTION,2025-07-02
USD,-0.5188,C,-639.5035,9.9777,EXECUTION,2025-07-02
USD,-0.036316,C,-44.765245,0.698439,EXECUTION,2025-07-02
USD,-1.012972,C,-4997.291518,-2.01449,EXECUTION,2025-08-18
USD,-1.015792,C,-6112.001848,-85.17764,EXECUTION,2025-09-10
USD,-1.014852,C,-5546.011738,22.47341,EXECUTION,2025-10-08
USD,-1.01316,C,-5003.90154,130.2853,EXECUTION,2025-10-14
USD,-1.0188,C,-121.0022,5.979,EXECUTION,2025-08-22
USD,-3.6504,C,-963.709908,56.639692,EXECUTION,2025-08-22
USD,-0.5188,C,-120.463738,7.017462,EXECUTION,2025-08-22
USD,-1.0376,C,-240.927477,14.034923,EXECUTION,2025-08-22
USD,-0.5188,C,-120.463738,7.017462,EXECUTION,2025-08-22
USD,-1.0376,C,-240.965938,15.996462,EXECUTION,2025-08-22
USD,-0.5188,C,-120.5022,6.979,EXECUTION,2025-08-22
USD,-3.6316,C,-843.5154,48.853,EXECUTION,2025-08-22
USD,-1.0376,C,-241.0044,15.958,EXECUTION,2025-08-22
USD,-0.5188,C,-120.5022,7.979,EXECUTION,2025-08-22
USD,-0.5188,C,-120.5022,7.979,EXECUTION,2025-08-22
USD,-0.5188,C,-120.5022,7.979,EXECUTION,2025-08-22
USD,-2.0752,C,-482.0088,31.916,EXECUTION,2025-08-22
USD,-1.0188,C,-120.5022,5.479,EXECUTION,2025-09-23
USD,-0.0188,C,-120.5022,6.479,EXECUTION,2025-09-23
USD,-0.5188,C,-120.5022,5.979,EXECUTION,2025-09-23
USD,-2.0752,C,-482.0088,23.916,EXECUTION,2025-09-23
USD,-0.5188,C,-120.5022,5.979,EXECUTION,2025-09-23
USD,-0.5188,C,-120.5022,5.979,EXECUTION,2025-09-23
USD,-0.5188,C,-120.5022,5.979,EXECUTION,2025-09-23
USD,-0.5188,C,-120.5022,5.979,EXECUTION,2025-09-23
USD,-0.5188,C,-120.5022,5.979,EXECUTION,2025-09-23
USD,-0.5188,C,-120.5022,5.979,EXECUTION,2025-09-23
USD,-0.5188,C,-120.5022,5.979,EXECUTION,2025-09-23
USD,-1.0376,C,-241.0044,11.958,EXECUTION,2025-09-23
USD,-0.5188,C,-120.5022,5.979,EXECUTION,2025-09-23
USD,-0.5188,C,-120.5022,5.979,EXECUTION,2025-09-23
USD,-0.5188,C,-120.5022,5.979,EXECUTION,2025-09-23
USD,-9.3384,C,-2169.0396,107.622,EXECUTION,2025-09-23
USD,-3.6316,C,-843.5154,41.853,EXECUTION,2025-09-23
