IBOrderID,qty,pnl,basis,netcash,date
612015675,-9,0.0,-103.938191,103.938191,2025-06-27;150327
612015721,-29,0.0,-96.746871,96.746871,2025-06-27;150330
612015828,-7,0.0,-95.563293,95.563293,2025-06-27;150334
612015866,-60,0.0,-104.58794,104.58794,2025-06-27;150338
612197787,-4,0.0,-89.997996,89.997996,2025-06-30;100004
612200157,-14,0.0,-91.986286,91.986286,2025-06-30;100008
612200965,-51,0.0,-101.499749,101.499749,2025-06-30;100026
612947220,-47,0.0,-107.561164,107.561164,2025-07-01;140046
612947259,-3,-1.250669,-821.710105,820.459436,2025-07-01;140054
612971074,-7,0.0,-80.317384,80.317384,2025-07-01;145156
613088672,-1,6.849777,-201.190035,208.039812,2025-07-02;093009
613449057,-900,35.7993,-1309.5315,1345.3308,2025-07-02;140034
613449493,-607,30.564639,-3911.7862450000002,3942.3508839999995,2025-07-02;140043
613449494,-54,250.167958,-3681.64189,3931.809848,2025-07-02;140039
613449679,-4,57.229108,-4209.45014,4266.679248,2025-07-02;140021
613449681,-3,42.619331,-3156.900105,3199.519436,2025-07-02;140025
613490634,-91,133.659707,-1155.703185,1289.362892,2025-07-02;153814
614277619,-2851,-277.69921,-4262.307722,3984.6085120000002,2025-07-07;140058
614277649,-82,-88.11722,-3932.081804,3843.964584,2025-07-07;140054
614277764,-1059,306.88761,-4474.298298,4781.1859079999995,2025-07-07;140105
614277817,-7,67.64853,-3574.290154,3641.938684,2025-07-07;140111
614277863,-2634,-132.25314,-5649.987948,5517.734807999999,2025-07-07;140121
614336101,-161,-23.18381,-3671.8035419999997,3648.619732,2025-07-07;154011
614892632,-10,21.69777,-4979.90035,5001.59812,2025-07-09;093000
615189773,-95,225.98005,-5476.80209,5702.78214,2025-07-09;140107
615189803,-302,-335.28342,-5739.516644,5404.233224,2025-07-09;140104
615712314,-234,187.15086000000002,-5785.655148,5972.8060080000005,2025-07-10;140018
615712707,-1663,-42.75923,-5995.671586,5952.912356,2025-07-10;140008
615712725,-450,262.9055,-4880.259899999999,5143.1654,2025-07-10;140013
615713296,-5,-21.95105,-5251.00011,5229.04906,2025-07-10;140022
616030197,-103,-92.66213,-6320.052266,6227.390136,2025-07-11;140036
616030364,-5,93.148925,-5191.000135,5284.14906,2025-07-11;140040
616441484,-29,-222.98609,-6903.000638,6680.014548,2025-07-14;140053
616441488,-4,-64.40084,-4171.440088,4107.039248,2025-07-14;140058
616746785,-1159,22.93661,-5314.040498,5336.977108,2025-07-15;140101
616747110,-5,-318.15105,-5270.25011,4952.09906,2025-07-15;140223
617220531,-2346,210.64684,-7472.0621120000005,7682.708952000001,2025-07-16;140044
617622015,-589,-6.0136899999999995,-5551.337958,5545.324268,2025-07-17;140019
617622140,-600,22.874,-2289.0132,2311.8872,2025-07-17;140010
617622208,-2220,310.333799,-6981.94884,7292.282639999999,2025-07-17;140014
618033163,-223,1120.64317,-6213.899906,7334.543076,2025-07-18;140007
618033415,-343,113.11797,-4978.652546,5091.7705160000005,2025-07-18;140003
618395405,-160,-72.4336,-5039.40352,4966.96992,2025-07-21;155838
618395408,-191,-44.79011,-5972.3942019999995,5927.604092,2025-07-21;155847
618395410,-171,-28.34591,-5335.153762,5306.807852,2025-07-21;155851
618396374,-159,88.44661,-5030.323498,5118.770108,2025-07-21;155946
618706166,-18,-40.16378,-5098.600396,5058.436616,2025-07-22;140119
618706530,-2109,551.896065,-6773.392443000001,7325.288508000001,2025-07-22;140109
618706693,-5,-300.15105,-5024.15011,4723.99906,2025-07-22;140114
618707398,-792,-48.68632,-5151.977424000001,5103.291104,2025-07-22;140100
618731983,-285,91.14015,-5547.5312699999995,5638.67142,2025-07-22;141751
619179376,-1566,272.21114,-5451.224452,5723.435592,2025-07-23;140106
619179881,-5,-315.50105,-4991.55011,4676.04906,2025-07-23;140058
619182021,-3592,756.48568,-6193.359024,6949.844704000001,2025-07-23;140110
619183819,-182,403.82178,-5027.8440040000005,5431.665784000001,2025-07-23;140443
619207838,-700,-56.147000000000006,-2425.5154,2369.3684,2025-07-23;145659
619688718,-2210,380.3359,-6282.39862,6662.73452,2025-07-24;140056
620429142,-95,23.63005,-4751.95209,4775.58214,2025-07-28;140314
620429146,-190,-150.2399,-7010.10418,6859.864280000001,2025-07-28;140318
620862185,-108,-242.86268,-7410.882376,7168.019696,2025-07-29;140004
621205543,-1597,-766.89537,-5837.0701340000005,5070.174764,2025-07-30;121232
621261759,-307,-274.36447,-5738.301754,5463.937284,2025-07-30;140038
621262011,-5,-4.60105,-4962.65011,4958.04906,2025-07-30;140043
621735676,-630,-287.93330000000003,-7733.264359999999,7445.3310599999995,2025-07-31;140028
621735944,-5,-80.05105,-4895.90011,4815.84906,2025-07-31;140038
621736020,-9,69.00811,-5035.960198,5104.968308,2025-07-31;140025
621736021,-265,-87.50565,-4951.53083,4864.02518,2025-07-31;140033
621736026,-183,-185.03843,-5997.914026,5812.875596,2025-07-31;140043
622176433,-214,-154.12494,-6752.774708,6598.649768,2025-08-01;140038
622176486,-279,-295.79859,-6407.241138,6111.442548,2025-08-01;140041
622176489,-298,11.857420000000001,-7686.916556,7698.7739759999995,2025-08-01;140046
622176587,-185,-131.53885,-5119.95407,4988.415220000001,2025-08-01;140051
622176671,-173,-240.77633,-5106.233806,4865.457476,2025-08-01;140106
622176696,-100,-6.771,-89.8922,83.1212,2025-08-01;140054
622195732,-5,-267.50105,-4925.60011,4658.09906,2025-08-01;142914
622555785,-255,-98.65355,-4832.68061,4734.02706,2025-08-04;140038
622555835,-212,-14.88502,-6579.424664,6564.539644,2025-08-04;140043
622555840,-2125,-240.07625000000002,-7012.0517500000005,6771.9755,2025-08-04;140047
622555846,-6,-211.94126,-5867.980132,5656.038872,2025-08-04;140052
622555884,-170,-44.9357,-5344.1037400000005,5299.1680400000005,2025-08-04;140105
622555983,-64,-161.37344,-5691.881408,5530.507968,2025-08-04;140056
622555986,-3,-418.67063,-6061.540066,5642.869436,2025-08-04;140100
622952002,-355,111.52545,-6544.43281,6655.958259999999,2025-08-05;140028
622952055,-1950,467.5905,-5118.7929,5586.3834,2025-08-05;140032
622952131,-258,75.76581999999999,-4697.475676,4773.241496,2025-08-05;140055
622952247,-35,163.19265,-7882.65077,8045.84342,2025-08-05;140101
622952361,-25,-124.50525,-6735.75055,6611.2453,2025-08-05;140038
622952370,-1775,-284.372751,-6185.914049999999,5901.541300000001,2025-08-05;140050
622952419,-5081,303.79299000000003,-5614.616782,5918.409772,2025-08-05;140046
622952462,-245,315.99855,-7138.08039,7454.07894,2025-08-05;140041
622952476,-247,56.75813,-5462.410434,5519.168564,2025-08-05;140105
623374410,-1764,-375.31094,-6006.458807999999,5631.147868,2025-08-06;140031
623374467,-350,52.426500000000004,-5220.2577,5272.6842,2025-08-06;140017
623374479,-56,36.06824,-4787.321232,4823.389472,2025-08-06;140023
623374480,-221,-161.69641000000001,-5230.289862,5068.593452,2025-08-06;140026
623374662,-129,130.84291,-7450.752838,7581.595748,2025-08-06;140014
